0,,,,,,average,,,,,,,,,,
101,2.646036,2.672,2.652433,2.643259,2.667652,2.656276,,2.656276,1.3932416,0.7481118,0.8798662,0.813178,,,,
201,20.275843,20.175831,20.112986,20.133488,20.37668,20.2149656,,20.2149656,10.4269054,5.4204668,6.7564338,5.4303318,,,,
301,68.090523,68.30957,67.958008,67.63813,67.667404,67.932727,,67.932727,35.3069764,18.4517898,21.177749,18.003667,,,,
401,160.835968,161.484421,160.170959,161.862167,162.412415,161.353186,,161.353186,81.6959886,44.3054114,46.9901438,45.9307746,,,,
2,,,,,,,,,,,,,,,,
101,1.396764,1.406849,1.391131,1.375936,1.395528,1.3932416,,,,,,,,,,
201,10.497052,10.427045,10.551113,10.318352,10.340965,10.4269054,,,,,,,,,,
301,34.758526,35.318844,35.593472,35.173256,35.690784,35.3069764,,,,,,,,,,
401,81.461159,81.663956,81.878372,81.682793,81.793663,81.6959886,,,,,,,,,,
4,,,,,,,,,,,,,,,,
101,0.756508,0.742824,0.755096,0.759812,0.726319,0.7481118,,,,,,,,,,
201,5.395138,5.367045,5.397875,5.521373,5.420903,5.4204668,,,,,,,,,,
301,18.252522,18.441854,18.532089,18.584179,18.448305,18.4517898,,,,,,,,,,
401,42.402359,43.563854,44.604904,45.913074,45.042866,44.3054114,,,,,,,,,,
6,,,,,,,,,,,,1,,,,
101,0.885942,0.901996,0.87379,0.870794,0.866809,0.8798662,,,,,,101,2.216943,,101,1.964027
201,6.974761,6.651875,6.641106,6.880654,6.633773,6.7564338,,,,,,201,14.361816,,201,11.302202
301,20.458893,20.60997,21.390373,21.589291,21.840218,21.177749,,,,,,301,48.402107,,301,51.13633
401,46.690292,47.755219,47.082253,47.335186,46.087769,46.9901438,,,,,,401,129.95256,,401,131.664246
8,,,,,,,,,,,,501,278.212708,,501,260.18457
101,0.811167,0.817379,0.812796,0.82941,0.795138,0.813178,,,,,,601,498.594696,,601,449.216034
201,5.284278,5.48645,5.397322,5.443456,5.540153,5.4303318,,,,,,701,824.667297,,701,694.188782
301,18.070543,17.83217,17.916119,18.148163,18.05134,18.003667,,,,,,801,1191.333008,,801,1021.312073
401,42.088737,50.970943,48.422234,45.472294,42.699665,45.9307746,,,,,,901,1781.603882,,901,1454.10144
,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,
101,0.799626,0.780793,0.798851,0.813999,0.79583,0.7978198,,,,,,,,,,
201,5.868153,5.756477,5.753097,5.792473,5.804812,5.7950024,,,,,,,,,,
301,19.036707,20.72287,19.584606,19.116173,19.557533,19.6035778,,,,,,,,,,
401,43.87257,43.939644,44.516605,45.541801,45.524052,44.6789344,,,,,,,,,,
